,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,34,36,188,"41:1013-1018 https://doi.org/10.1007/s00300-01 7-2243-8 SHORT NOTE @® CrossMark Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica E. Ashley Shaw'® - Byron J. Adams? :",True,Antarctica,Antarctica,122,123,603,613,"Abstract Soil food webs of the McMurdo Dry Valleys, Antarctica are simple.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,34,36,188,"41:1013-1018 https://doi.org/10.1007/s00300-01 7-2243-8 SHORT NOTE @® CrossMark Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica E. Ashley Shaw'® - Byron J. Adams? :",True,Antarctica,Antarctica,259,260,1414,1424,"To address this, we measured stable isotope natural abundance ratios of C (3c/""C) and N (PN/""4N) for different metazoan taxa (using whole body biomass) to determine soil food web structure in Taylor Valley, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,34,36,188,"41:1013-1018 https://doi.org/10.1007/s00300-01 7-2243-8 SHORT NOTE @® CrossMark Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica E. Ashley Shaw'® - Byron J. Adams? :",True,Antarctica,Antarctica,383,384,2164,2174,"Understanding the trophic positions of soil fauna is critical to predictions of current and future species interactions and their distributions for the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,34,36,188,"41:1013-1018 https://doi.org/10.1007/s00300-01 7-2243-8 SHORT NOTE @® CrossMark Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica E. Ashley Shaw'® - Byron J. Adams? :",True,Antarctica,Antarctica,407,408,2321,2331,"The McMurdo Dry Valleys, Antarctica are an extreme ecosystem: they are very cold, dry, and windy, their soils have high pH, low moisture, and low organic carbon, and are bh E. Ashley Shaw elizabeth.shaw @colostate.edu Department of Biology and Natural Resource Ecology Laboratory, Colorado State University, Fort Collins, CO, USA Department of Biology, Evolutionary Ecology Laboratories, and Monte L. Bean Museum, Brigham Young University, Provo, UT, USA Biological Sciences, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA 4 School of Earth Science, Byrd Polar Research Center, The Ohio State University, Columbus, OH, USA Environmental Studies Program, Dartmouth College, Hanover, NH, USA often saline (Campbell et al. 1998;",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
4,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,34,36,188,"41:1013-1018 https://doi.org/10.1007/s00300-01 7-2243-8 SHORT NOTE @® CrossMark Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica E. Ashley Shaw'® - Byron J. Adams? :",True,Taylor Valley,Taylor Valley,666,668,3684,3697,"For example, soil invertebrates found in Taylor Valley include four species of nematode: Scottnema lindsayae, Plectus murrayi, Geomonhystera antarcticola, and Eudorylaimus antarcticus, a tardigrade, Acutuncus antarcticus, and rotifers.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
5,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,34,36,188,"41:1013-1018 https://doi.org/10.1007/s00300-01 7-2243-8 SHORT NOTE @® CrossMark Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica E. Ashley Shaw'® - Byron J. Adams? :",True,Antarctica,Antarctica,1095,1096,5981,5991,"While other locations in Antarctica have predaceous taxa (Sohlenius and Bostré6m 2005), no studies to date have confirmed a metazoan predator in Taylor Valley.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
6,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,34,36,188,"41:1013-1018 https://doi.org/10.1007/s00300-01 7-2243-8 SHORT NOTE @® CrossMark Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica E. Ashley Shaw'® - Byron J. Adams? :",True,Taylor Valley,Taylor Valley,1456,1458,7923,7936,"Following this logic, we used natural abundance of stable isotopes to characterize the trophic levels for the three most abundant nematode species in Taylor Valley (E. antarcticus, P. murrayi, and S. lindsayae), the tardigrade A. antarcticus, and rotifers (grouped at phylum level).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
7,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,34,36,188,"41:1013-1018 https://doi.org/10.1007/s00300-01 7-2243-8 SHORT NOTE @® CrossMark Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica E. Ashley Shaw'® - Byron J. Adams? :",True,Taylor Valley,Taylor Valley,1602,1604,8588,8601,"Methods To test our hypothesis, we chose a well-studied site in Taylor Valley (e.g., Spaulding and McKnight 1998; Treonis et al. 1999) near Von Guerard stream in the Lake Fryxell basin of Taylor Valley (77.608 S, 163.254 E).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
8,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,34,36,188,"41:1013-1018 https://doi.org/10.1007/s00300-01 7-2243-8 SHORT NOTE @® CrossMark Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica E. Ashley Shaw'® - Byron J. Adams? :",True,Lake Fryxell,the Lake Fryxell,1624,1626,8690,8702,"Methods To test our hypothesis, we chose a well-studied site in Taylor Valley (e.g., Spaulding and McKnight 1998; Treonis et al. 1999) near Von Guerard stream in the Lake Fryxell basin of Taylor Valley (77.608 S, 163.254 E).",True,True,True,True,False,False,False,True,,,,,,,,,,,,,,,True,True,True
9,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,34,36,188,"41:1013-1018 https://doi.org/10.1007/s00300-01 7-2243-8 SHORT NOTE @® CrossMark Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica E. Ashley Shaw'® - Byron J. Adams? :",True,Lake Fryxell,the Lake Fryxell,1995,1997,10306,10318,1 Location of our sample 4 60430°E 163°E 463° site near Von Guerard stream in memonyes a New - wv Glacier ror the Lake Fryxell basin in Taylor,True,True,True,True,False,False,False,True,,,,,,,,,,,,,,,True,True,True
