,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Stereotydeus mollis,Stereotydeus mollis,True,160,162,949,"Of the seven groups of invertebrates examined, only the prostigmatid mite Stereotydeus mollis showed any redistribution between the two sampling points.",True,Antarctica,Antarctica,110,111,630,640,"Summary The abundance and distribution of soil invertebrates was examined along a transect in Keble Valley, Cape Bird, Ross Island, Antarctica during and after snowmelt.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Stereotydeus mollis,Stereotydeus mollis,True,160,162,949,"Of the seven groups of invertebrates examined, only the prostigmatid mite Stereotydeus mollis showed any redistribution between the two sampling points.",True,Antarctica,Antarctica,882,883,4933,4943,"Materials and Methods Study site and transect The Cape Bird ice-free area is at the northern tip of Ross Island, Antarctica (77°13’S, 166°26’E).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Stereotydeus mollis,Stereotydeus mollis,True,160,162,949,"Of the seven groups of invertebrates examined, only the prostigmatid mite Stereotydeus mollis showed any redistribution between the two sampling points.",True,Keble Valley,Keble Valley,973,975,5339,5351,"The ‘soil’ in Keble Valley consists of silt, coarse sand and fine gravel of volcanic and glacial origin, with an abundance of stones at the surface as a result of cryoturbation and wind ablation.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
3,Stereotydeus mollis,Stereotydeus mollis,True,160,162,949,"Of the seven groups of invertebrates examined, only the prostigmatid mite Stereotydeus mollis showed any redistribution between the two sampling points.",True,Keble Valley,Keble Valley,1340,1342,7225,7237,"Mite and springtail distribution in Keble Valley is extremely patchy, and abundance is not strongly related to rock size (B. J. Sinclair unpublished data).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
4,Stereotydeus mollis,Stereotydeus mollis,True,160,162,949,"Of the seven groups of invertebrates examined, only the prostigmatid mite Stereotydeus mollis showed any redistribution between the two sampling points.",True,Antarctica,Antarctica,2425,2426,12703,12713,"Soil water content along a 24 m transect in Keble Valley, Ross Island, Antarctica in November 1999 (---()---, while streams are flowing) and January 2000 (—A— after stream flow had ceased).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
5,Stereotydeus mollis,Stereotydeus mollis,True,160,162,949,"Of the seven groups of invertebrates examined, only the prostigmatid mite Stereotydeus mollis showed any redistribution between the two sampling points.",True,Antarctica,Antarctica,2589,2590,13246,13256,"Soil surface salinity (—4&—), chlorophyll-c content (---LJ---), and organic content (—-—-C) —-—-) along a 24 m transect in Keble Valley, Ross Island, Antarctica in January 2000, when the streams were not flowing.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
6,Stereotydeus mollis,Stereotydeus mollis,True,160,162,949,"Of the seven groups of invertebrates examined, only the prostigmatid mite Stereotydeus mollis showed any redistribution between the two sampling points.",True,Antarctica,Antarctica,2962,2963,15103,15113,"Distribution of invertebrates and macroscopic vegetation along a 24 m transect in Keble Valley, Ross Island, Antarctica in January 2000.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
7,Stereotydeus mollis,Stereotydeus mollis,True,160,162,949,"Of the seven groups of invertebrates examined, only the prostigmatid mite Stereotydeus mollis showed any redistribution between the two sampling points.",True,Antarctica,Antarctica,3142,3143,15914,15924,"Distribution of the mite Stereotydeus mollis across a transect in Keble Valley, Cape Bird, Ross Island, Antarctica, as measured by an index of abundance on stones during the period of snowmelt (November 1999, ——) and after cessation of stream flow (January 2000, ---()---).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
8,Stereotydeus mollis,Stereotydeus mollis,True,160,162,949,"Of the seven groups of invertebrates examined, only the prostigmatid mite Stereotydeus mollis showed any redistribution between the two sampling points.",True,Antarctica,Antarctica,3225,3226,16350,16360,"Correlations between invertebrate abundance and physico-chemical aspects of soil across a transect in Keble Valley, Cape Bird, Ross Island, Antarctica in January 2000.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
9,Stereotydeus mollis,Stereotydeus mollis,True,160,162,949,"Of the seven groups of invertebrates examined, only the prostigmatid mite Stereotydeus mollis showed any redistribution between the two sampling points.",True,Antarctica,Antarctica,3842,3843,19357,19367,"Species-environment biplot generated by Canonical Correspondence Analysis (CCA) on soil characteristics and invertebrate community data collected in January 2000 from a transect across Keble Valley, Ross Island, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
10,Stereotydeus mollis,Stereotydeus mollis,True,160,162,949,"Of the seven groups of invertebrates examined, only the prostigmatid mite Stereotydeus mollis showed any redistribution between the two sampling points.",True,Antarctica,Antarctica,4760,4761,24506,24516,"This study shows that there are strong seasonal changes in water availability at a single site in Antarctica, and that some (but not all) terrestrial invertebrates may respond to these changes with changes in distribution.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
